,image_file,ground_truth,pred_ocr,cer,wer,character_accuracy
0,img1.txt,Made in 13502577 China 139BF7A4 B 0451 AB,n B 435025 4139BF7A4 Made 0451 China AB IG,68.29,100.0,60.24096385542169
1,img2.txt,054.129.808 KYS Germany >PA6-GF30<,"054.129, KyS L808 GERMAnY ~PA6-GF30 <",47.06,150.0,64.7887323943662
2,img3.txt,VW AG 038 907 281 D Made in Germany WLO 51299 023 A 12V >PA6.6-GF30<,%] 1 8 2 818 4,88.24,100.0,7.317073170731707
3,img4.txt,>PA6-GF15 < 3 1662797 5,FA6-GF15 < 316627975 3,21.74,80.0,84.44444444444444
4,img5.txt,4RA 007 791-20 >PBT-GF20<,"5 0 1 221r"" =20 791 007 A4RA",92.0,200.0,18.867924528301888
5,img6.txt,1K0 907 655 B ESP-DUOSENSOR,IKO 907 655 B ESP _ DUCSENS~R 0 L0,44.44,120.0,72.1311475409836
6,img7.txt,VW AG Brown Black 03S 10/2014 5Q0.035.570 IHU Hungary,AG Brown VW 8 2 8 3 2 Black 10/2014 035,71.7,111.11,56.52173913043478
7,img8.txt,5M0.035.570.B Made inTunisia BBT 23/10/09,5mO.035.570.B Made inTunisia BBT 23/10/09,4.88,20.0,95.1219512195122
8,img9.txt,8E0 035 456 C FKW 0681 021498 19/07 091 0411 2 Compenser MC 2000A Funkwerk Dabendorf GmbH Germany,8EO 035 456 C FKW C€ 0681 021498 0 7 yp: 091 0411 2 Compenser MC 2OOOA ul-Inh : Funkwerk Dabendorf GmbH Germany,25.77,44.44,86.53846153846155
9,img10.txt,BOSCH 8R0 907 637 B 0101 005 ESP-Sensor MM3.R8k FOV 0 265 005 853 15-09-14 BPV 1283/31 7062614 Made in Hungary 4843 658,BOSCH 8RO 907 637 B 0101 005 ESP-Sensor MM3 R8k 0 265 005 853 FOV 15-09-14 BPV 1283/31 7062614 Made in Hungary 4843 658,8.4,17.39,94.9579831932773
10,img11.txt,ZB Heckleuchte Li 8E9 945 093 484 501 401 07S ULO 7490-01 19:28 26.01.05,ZB Li 8E9 945 093 0 484 501 ULO 078 20 73 Heckleuchte QQD (401DJ) 7490-01 19.28 26.01.05,65.28,71.43,63.74999999999999
11,img12.txt,MEGANE R,MEGAE,37.5,100.0,76.92307692307693
12,img13.txt,Mexico 1CO 805 594 C >PP-GF 40< PK3,Mexico 1C0 805 594 6 ~PP-GF 40< PK3,8.57,37.5,91.42857142857143
13,img14.txt,C 3 Pi L NR41oA,43 Pla VR 4do4,60.0,100.0,48.275862068965516
14,img15.txt,PA 66-GF15 BOSCH ASSEMBLED IN MEXICO 0263004203 110819 6002JC0860 864 0257 SW 1.45 HW 2.20 PSA RB AAS G4 CEM04 9663821780 23054H,BOSCH ASSEMBLED IN MeXiCO 110819 6002Jc0860 0263004203 864 0257 SW 1.45 Hw 2.20 RB AAS G4 CEMO4 PSA 9663821780 23054H,35.16,45.45,79.18367346938776
