,image_file,ground_truth,pred_ocr,cer,wer,character_accuracy
0,img1.txt,Made in 13502577 China 139BF7A4 B 0451 AB,Made in 13502577 China 139BF7A4 B 0451 AB,0.0,0.0,100.0
1,img2.txt,054.129.808 KYS Germany >PA6-GF30<,054. 129 KyS 808 GERMANY yPA6-GF30,47.06,150.0,61.76470588235294
2,img3.txt,VW AG 038 907 281 D Made in Germany WLO 51299 023 A 12V >PA6.6-GF30<,VW AG 030 907 781 0 Made in Germany #LO 51299023A I2v APAG 6-GfJ0. 270-,27.94,60.0,77.6978417266187
3,img4.txt,>PA6-GF15 < 3 1662797 5,PAc-GF15 < 81662797=,26.09,80.0,79.06976744186046
4,img5.txt,4RA 007 791-20 >PBT-GF20<,6 2100 1 791 007 4RRA,76.0,150.0,21.73913043478261
5,img6.txt,1K0 907 655 B ESP-DUOSENSOR,1KO 907 655 B ESP_ DUCQENs~r,29.63,60.0,72.72727272727273
6,img7.txt,VW AG Brown Black 03S 10/2014 5Q0.035.570 IHU Hungary,AG WW Brown 3 3 IBlack 10/2014 035,62.26,88.89,59.77011494252874
7,img8.txt,5M0.035.570.B Made inTunisia BBT 23/10/09,5M0.035.570.6 Made inTunisia BBT 23/10/09,2.44,20.0,97.5609756097561
8,img9.txt,8E0 035 456 C FKW 0681 021498 19/07 091 0411 2 Compenser MC 2000A Funkwerk Dabendorf GmbH Germany,8E0 035 456 C QQD FKW le C€ 0681 021498 yp: 091 0411 2 Compenser MC 2O00A ul:-Inh : Funkwerk Dabendort GmbH Germany,29.9,44.44,84.90566037735849
9,img10.txt,BOSCH 8R0 907 637 B 0101 005 ESP-Sensor MM3.R8k FOV 0 265 005 853 15-09-14 BPV 1283/31 7062614 Made in Hungary 4843 658,BOSCH 8RO 907 637 B 0101 005 ESP-Sensor MM3.RSk 0 265 005 853 FOV 15-09-14 BPV 1283/31 7062614 Made in Hungary 4843 658,8.4,17.39,94.9579831932773
10,img11.txt,ZB Heckleuchte Li 8E9 945 093 484 501 401 07S ULO 7490-01 19:28 26.01.05,ZB Li BE9 945 484 501 07s Heckleuchte 093 (401LJ) ULO 7490-01 19.28 26.01.05,55.56,57.14,64.86486486486487
11,img12.txt,MEGANE R,MEGANE,25.0,50.0,85.71428571428571
12,img13.txt,Mexico 1CO 805 594 C >PP-GF 40< PK3,Mexico 1CO 805 594 0 >PP-GF 40< P13,5.71,25.0,94.28571428571428
13,img14.txt,C 3 Pi L NR41oA,LC 3 Pif VR 44oA,40.0,80.0,70.96774193548387
14,img15.txt,PA 66-GF15 BOSCH ASSEMBLED IN MEXICO 0263004203 110819 6002JC0860 864 0257 SW 1.45 HW 2.20 PSA RB AAS G4 CEM04 9663821780 23054H,k > A1 88-GFI5 BOSCH ASSEMBLED IN MexiCO 110819 6002Jc0860 0263004203 864 0257 SW 1.45 Hw 2.20 RB AAS 64 CEMOA PSA 9663821780 23054h,35.94,63.64,76.15384615384615
